tf.GLOBAL_VARIABLES(,tf.VARIABLES(
tf.global_variables(,tf.all_variables(
tf.global_variables_initializer(,tf.initialize_all_variables(
tf.local_variables_initializer(,tf.initialize_local_variables(
tf.variables_initializer(,tf.initialize_variables(
tf.summary.audio(,tf.audio_summary(
tf.summary.histogram(,tf.contrib.deprecated.histogram_summary(
tf.summary.scalar(,tf.contrib.deprecated.scalar_summary(
tf.summary.histogram(,tf.histogram_summary(
tf.summary.image(,tf.image_summary(
tf.summary.merge_all(,tf.merge_all_summaries(
tf.summary.merge(,tf.merge_summary(
tf.summary.scalar(,tf.scalar_summary(
tf.summary.FileWriter(,tf.train.SummaryWriter(
tf.reciprocal(,tf.inv(
tf.setdiff1d(,tf.list_diff(
tf.multiply(,tf.mul(
tf.negative(,tf.neg(
tf.where(,tf.select(
tf.subtract(,tf.sub(
